Sales,Quantity,Profit,
154.44,3,1.5444,
342.37,7,160.9139,
14.73,3,7.2177,
186.54,3,50.3658,
557.728,4,6.9716,
159.968,4,-31.9936,
132.224,4,-18.1808,
100,4,21,
7.83,3,3.6018,
30.352,2,10.6232,
623.96,5,38.9975,
1127.976,3,126.8973,
241.5,4,0,
89.97,3,39.5868,
31.86,2,11.151,
69.93,7,0.6993,
1350.12,6,175.5156,
15.92,4,7.4824,
146.82,3,73.41,
4.77,1,2.1465,
7.98,3,2.0748,
550.431,3,-47.1798,
10.56,6,4.6464,
264.18,7,68.6868,
398.352,3,124.485,
8.72,4,3.5752,
92.064,6,-225.5568,
6.976,4,1.8312,
62.958,3,-2.6982,
5.184,1,1.8144,
227.96,2,36.4736,
318.08,4,34.9888,
5.8,1,2.61,
326.646,3,39.9234,
89.97,3,39.5868,
44.46,2,14.6718,
242.94,3,9.7176,
8.67,3,4.0749,
25.71,3,6.6846,
70.88,2,33.3136,
16.496,2,5.5674,
12.99,1,0.7794,
18.56,4,6.496,
449.15,5,8.983,
31.248,7,10.9368,
68.95,5,28.959,
296.37,3,80.0199,
39.98,2,1.999,
3.762,3,-2.7588,
34.86,2,-26.726,
432.456,3,32.4342,
135.8,7,66.542,
490.32,9,137.2896,
445.96,5,55.745,
36.24,1,15.2208,
10.65,3,5.0055,
57.576,3,21.591,
46.72,5,17.52,
170.88,3,49.5552,
56.82,3,28.41,
16.192,2,-6.8816,
111.104,7,8.3328,
36.48,6,18.24,
836.592,8,-264.9208,
26.38,1,12.1348,
362.92,2,105.2468,
4899.93,7,2400.9657,
159.984,2,13.9986,
447.86,7,219.4514,
479.95,5,129.5865,
166.44,3,79.8912,
42.784,7,15.5092,
563.43,5,-56.343,
134.85,3,37.758,
637.896,3,-127.5792,
287.91,3,33.5895,
36.6,3,11.895,
25.35,3,7.605,
35.28,3,11.9952,
3930.072,3,-786.0144,
2.304,1,0.7776,
431.976,3,32.3982,
41.72,7,5.7365,
16.99,1,4.9271,
10.08,4,3.528,
128.4,3,64.2,
159.98,2,57.5928,
149.352,3,50.4063,
12.992,1,-0.812,
431.94,2,-71.99,
2.043,1,-1.4982,
68.238,3,-12.5103,
2.334,3,-6.3018,
1.728,4,-2.7648,
159.04,5,-194.824,
145.98,2,-99.2664,
21.072,3,1.5804,
1363.96,5,85.2475,
102.36,3,-3.8385,
9.702,3,-7.1148,
108.576,4,-25.3344,
5.984,2,-1.3464,
113.6,8,44.304,
12.96,2,6.3504,
69.456,2,22.5732,
8.856,9,-14.1696,
27.96,5,8.388,
146.352,3,49.3938,
207.144,3,48.3336,
13.9,5,3.753,
199.75,5,87.89,
11.21,1,3.363,
354.9,5,88.725,
17.94,3,8.7906,
51.8,4,23.31,
176.784,1,-22.098,
39.992,1,7.4985,
14.9,5,7.152,
4158.912,8,363.9048,
26.85,3,5.1015,
3357.6,3,377.73,
104.696,1,6.5435,
45.98,2,19.7714,
17.46,2,8.2062,
244.006,2,-31.3722,
76.92,4,31.5372,
481.32,4,125.1432,
30.336,4,9.48,
12.96,2,6.2208,
29.34,3,13.4964,
676.55,5,6.7655,
154.9,5,40.274,
30.56,4,14.9744,
770.352,3,77.0352,
19.98,2,8.991,
157.92,5,17.766,
203.184,2,15.2388,
70.08,5,24.528,
1.272,2,-2.1624,
557.585,5,0,
127.88,2,40.9216,
160.32,2,44.8896,
46,4,20.7,
28.28,2,7.3528,
4912.59,3,196.5036,
386.68,2,-5.524,
379.96,5,47.495,
539.91,3,-116.9805,
41.24,5,13.9185,
51.897,1,-41.5176,
552.56,5,-138.14,
23.16,5,-15.44,
126.08,2,-28.368,
449.1,3,-643.71,
51.184,7,19.194,
21.88,5,6.2905,
241.332,5,-14.196,
5.184,1,1.8792,
145.544,7,16.3737,
196.784,2,-22.1382,
41.904,6,14.1426,
16.74,2,4.3524,
83.976,3,-13.6461,
4.544,2,1.6472,
1352.032,4,84.502,
319.76,14,147.0896,
45.68,2,21.0128,
528.43,5,-143.431,
22.386,7,-35.8176,
39.68,2,10.3168,
129.98,2,62.3904,
32.54,2,15.9446,
199.9,5,89.955,
901.95,3,297.6435,
971.5,5,252.59,
84.784,2,-20.1362,
189.882,3,-94.941,
871.8,3,87.18,
72.294,1,-98.8018,
14.98,1,6.8908,
20.32,4,6.9088,
31.086,3,-20.724,
84.784,2,-20.1362,
20.736,4,7.2576,
16.821,3,-12.8961,
10.368,2,3.6288,
11.992,1,0.8994,
697.16,4,146.4036,
86.45,7,38.038,
3.168,2,-4.752,
528.43,5,0,
13.392,3,1.5066,
99.372,2,-1.4196,
1.344,1,0.504,
58.58,2,19.3314,
167.888,7,14.6902,
403.168,4,25.198,
22.48,1,10.3408,
301.47,3,-241.176,
18.656,2,1.6324,
1287.45,5,244.6155,
59.52,3,17.856,
459.95,5,18.398,
67.64,5,5.9185,
119.976,3,-17.9964,
17.64,3,8.6436,
17.04,3,5.538,
20.24,1,8.7032,
39.92,4,11.1776,
32.54,2,15.9446,
31.4,2,7.85,
87.92,4,0.8792,
5.98,1,2.9302,
45.528,3,15.9348,
844.116,6,-36.1764,
812.736,8,60.9552,
13.48,2,6.74,
29.8,5,9.3125,
414,8,124.2,
41.328,7,14.9814,
299.975,5,-167.986,
158.376,4,-36.9544,
11.34,1,5.5566,
280.782,3,-60.8361,
31.984,2,1.1994,
327.996,6,54.666,
59.52,3,15.4752,
161.94,3,9.7164,
263.88,6,71.2476,
30.48,3,7.9248,
9.84,3,2.8536,
35.12,4,9.1312,
31.56,5,9.8625,
30.144,2,3.0144,
88.04,4,22.8904,
20.7,2,9.936,
10.95,3,3.285,
14.352,3,4.6644,
1317.492,6,292.776,
63.84,8,18.5136,
3.592,1,1.1225,
7.04,4,3.0976,
12.99,1,0.2598,
1454.9,5,378.274,
99.846,9,-83.205,
71.12,4,22.0472,
259.96,4,124.7808,
10.272,3,3.21,
149.97,3,5.9988,
27.81,3,13.0707,
588.784,2,183.995,
82.64,2,7.4376,
31.02,2,8.0652,
89.97,3,37.7874,
158.368,7,13.8572,
118.782,3,-27.7158,
769.184,4,-163.4516,
1294.75,5,336.635,
1199.976,3,374.9925,
658.746,3,146.388,
3.64,2,0.9828,
37.94,2,18.2112,
33.528,3,2.5146,
36.744,3,3.6744,
388.704,6,-4.8588,
8.26,2,3.7996,
17.04,4,6.9864,
34.4,5,15.824,
20.04,3,9.6192,
64.96,2,2.5984,
12.96,2,6.2208,
431.928,9,64.7892,
95.984,4,-4.1136,
1088.792,4,-1850.9464,
8.872,1,3.2161,
121.104,6,-100.92,
24.7,5,10.374,
17.92,4,8.6016,
354.9,5,88.725,
30,6,14.4,
25.92,4,12.7008,
159.92,4,31.984,
35.352,9,12.8151,
517.9,2,134.654,
5.28,2,2.4288,
556.665,5,6.549,
8.904,2,-6.5296,
12.96,2,6.2208,
23.2,5,8.12,
113.76,3,44.3664,
579.51,3,81.1314,
150.66,9,6.0264,
48.032,4,15.6104,
13.568,4,3.2224,
343.92,4,75.6624,
40.99,1,20.0851,
63.9,5,28.755,
638.288,7,-31.9144,
13.208,1,4.6228,
19.44,3,9.3312,
194.352,3,-36.441,
36.624,3,13.734,
129.552,3,-22.6716,
51.984,1,-5.1984,
10.272,3,3.4668,
6.12,3,2.8764,
383.8,5,38.38,
933.536,4,105.0228,
42.976,4,4.2976,
81.2,5,12.18,
25.06,2,11.7782,
189.588,2,-145.3508,
408.744,7,76.6395,
291.96,5,54.7425,
4.768,2,-0.7748,
1121.568,2,0,
33.488,7,5.8604,
8.04,5,2.9145,
143.7,3,68.976,
12.84,3,3.7236,
9099.93,7,2365.9818,
9.96,2,3.2868,
25.3,5,11.891,
28.8,3,0.864,
35.168,4,8.3524,
123.088,7,40.0036,
36.792,1,4.1391,
18.624,8,6.2856,
29.05,5,9.0055,
257.499,3,24.2352,
79.12,5,13.846,
230.376,3,-48.9549,
9.664,2,3.2616,
203.92,4,55.0584,
29.56,4,7.9812,
344.372,4,-93.4724,
1554.936,3,77.7468,
127.88,5,-67.137,
6.99,3,2.0271,
6.84,1,1.8468,
205.176,2,-58.1332,
419.4,5,146.79,
39.96,5,12.987,
5.46,3,1.5288,
73.2,5,21.228,
5.84,1,1.971,
22.72,4,10.224,
9.336,3,3.2676,
25.98,2,0.7794,
3.28,2,1.476,
459.88,4,13.7964,
7.76,2,2.2504,
71.96,2,17.99,
54.9,5,15.372,
9.28,2,3.248,
102.336,4,-12.792,
48.792,3,-126.8592,
44.848,8,-67.272,
8.32,5,2.808,
15.48,3,4.4892,
51.84,8,24.8832,
23.56,5,7.068,
1272.63,6,-814.4832,
28.485,5,-20.889,
185.376,2,-34.758,
78.272,2,5.8704,
86.62,2,8.662,
23.952,2,2.3952,
31.56,3,10.4148,
32.13,9,8.3538,
2.88,1,0.8064,
251.52,6,81.744,
99.99,1,34.9965,
36.24,5,11.325,
108.336,6,37.9176,
55.92,5,6.291,
78.304,2,29.364,
18.088,7,6.5569,
71.97,3,35.985,
258.696,3,64.674,
3.984,1,1.3944,
15.552,3,5.4432,
1325.76,6,149.148,
3.108,2,-2.1756,
82.8,2,-20.7,
20.724,2,-13.816,
4.896,3,-3.4272,
434.646,3,62.7822,
369.576,3,41.5773,
15.712,4,5.6956,
29.472,3,9.9468,
41.568,2,2.598,
30.344,2,-31.8612,
7.712,2,2.7956,
22.608,3,-10.1736,
111.888,7,22.3776,
3.984,1,1.2948,
370.62,3,-142.071,
2.742,2,-2.0108,
109.92,2,53.8608,
19.44,3,9.3312,
11.16,2,4.3524,
86.352,3,5.397,
44.94,3,12.5832,
45.576,3,15.9516,
187.056,9,11.691,
18.936,3,-3.7872,
12.672,3,-3.168,
5.04,2,1.764,
366.744,4,-110.0232,
12.56,2,4.0192,
90.48,3,33.93,
13.08,2,6.0168,
214.7,5,83.733,
2.182,1,-3.6003,
27.384,7,2.7384,
26.406,3,-71.2962,
132.52,5,34.7865,
195.64,5,-44.019,
51.968,2,10.3936,
431.976,3,-75.5958,
224.937,3,-164.9538,
6,2,2.1,
79.14,3,36.4044,
14.352,3,5.2026,
5.98,1,1.0166,
246.168,3,21.5397,
6.72,5,2.352,
298.776,3,7.4694,
16.72,5,3.344,
71.088,2,-1.7772,
1685.88,6,320.3172,
5.728,2,2.0048,
93.248,4,31.4712,
177.48,3,19.9665,
7.216,2,1.7138,
49.568,2,15.49,
54.712,7,11.6263,
3.208,2,-5.2932,
26.176,2,-3.272,
54.48,1,15.2544,
41.6,4,14.144,
85.232,7,30.8966,
44.4,3,22.2,
442.764,4,59.0352,
3999.95,5,1159.9855,
199.95,5,21.9945,
63.68,8,28.0192,
211.96,2,42.392,
1006.056,3,88.0299,
10.688,2,3.7408,
10.368,2,3.6288,
25.12,2,1.57,
58.112,2,7.264,
17.94,3,8.073,
93.98,2,13.1572,
9.344,1,3.504,
79.36,5,9.92,
8,5,3.44,
32.04,4,14.418,
19.136,2,1.9136,
27.86,7,9.1938,
856.656,6,107.082,
13.184,4,-20.4352,
48.784,4,-131.7168,
76.64,2,26.824,
18.528,6,-27.792,
11.96,2,5.8604,
743.988,2,-123.998,
7.072,2,2.3868,
5.98,1,2.691,
10.96,4,2.9592,
82.368,2,-19.5624,
54.9,5,26.901,
10.02,3,4.4088,
631.96,4,303.3408,
120,6,46.8,
8.67,1,2.3409,
79.384,1,29.769,
57.582,3,-44.1462,
31.104,6,10.8864,
30.192,3,8.3028,
43.6,5,4.36,
4.768,2,0.4172,
10.38,2,-7.612,
13.392,8,-9.8208,
185.528,7,48.7011,
511.84,8,240.5648,
91.96,4,25.7488,
8.34,3,2.1684,
13.776,3,4.4772,
7.764,4,-5.176,
15.232,4,5.5216,
552.56,4,0,
17.34,3,8.4966,
282.84,4,19.7988,
27.72,9,13.3056,
2.952,2,-2.1648,
27.018,6,-21.6144,
65.17,7,18.8993,
14.62,2,6.8714,
173.24,4,17.324,
2.89,1,-4.7685,
7.896,3,2.4675,
22.608,3,-10.1736,
30.528,8,9.54,
104.28,3,26.07,
17.94,3,8.7906,
641.96,2,179.7488,
242.9,5,70.441,
454.9,5,0,
35.92,4,15.0864,
39.76,8,12.3256,
47.744,4,14.92,
9.584,1,3.3544,
21.4,5,6.206,
87.84,8,23.7168,
1049.2,5,272.792,
15.424,4,5.0128,
1363.96,5,85.2475,
2.694,2,-2.245,
40.635,7,-32.508,
55.176,3,-12.4146,
66.26,2,27.1666,
2396.4,10,179.73,
111.96,2,54.8604,
1.964,2,-3.2406,
82.656,9,30.996,
3.798,3,-5.8869,
345,5,86.25,
174.286,2,-19.9184,
662.84,4,172.3384,
95.1,5,30.432,
26.88,6,12.9024,
257.98,2,74.8142,
14.73,3,7.2177,
222.384,2,22.2384,
37.05,3,16.302,
1979.928,9,148.4946,
4.98,1,2.4402,
2399.976,4,1119.9968,
6.294,1,-4.196,
10.368,2,3.6288,
122.382,3,-24.4764,
69.5,5,20.155,
191.6,4,91.968,
16.656,3,3.3312,
24.96,4,6.24,
19.36,2,9.2928,
1267.65,9,152.118,
10.368,2,3.6288,
388.43,5,-88.784,
14.352,3,5.2026,
63.992,1,-7.1991,
19.44,3,9.3312,
9.64,2,4.4344,
12.7,2,5.842,
41.37,3,17.3754,
1.504,1,0.1692,
34.848,2,6.534,
5.94,3,0,
45.36,7,21.7728,
211.168,4,23.7564,
484.704,6,-84.8232,
371.976,3,116.2425,
184.704,6,13.8528,
47.92,2,11.98,
26.94,3,11.3148,
3504.9,5,700.98,
144.12,3,69.1776,
314.55,3,150.984,
25.176,3,-33.3582,
5.584,2,-1.6752,
1297.368,9,97.3026,
13.38,2,6.1548,
185.88,6,50.1876,
390.272,8,-24.392,
62.192,13,19.435,
262.24,2,78.672,
182.72,8,84.0512,
131.6,7,7.896,
22.72,4,7.384,
558.4,2,41.88,
54.9,5,15.372,
286.4,1,25.06,
979.95,5,274.386,
22.75,5,11.375,
11.277,3,-8.6457,
4.448,2,0.3336,
44.76,3,14.547,
22.62,2,-15.08,
14.952,2,-11.9616,
801.568,2,50.098,
2.376,3,-1.9008,
32.792,1,11.8871,
3.282,2,-2.6256,
839.988,2,69.999,
2275.5,10,386.835,
1979.7,6,653.301,
62.1,6,29.808,
123.92,5,9.294,
38.88,6,18.6624,
364.74,3,109.422,
47.4,5,21.33,
49.76,4,13.9328,
5.56,2,1.4456,
629.1,6,301.968,
14.7,5,3.969,
45.36,7,21.7728,
125.99,1,35.2772,
167.84,8,11.7488,
26.55,9,12.744,
111.98,2,26.8752,
79.96,5,7.996,
223.96,5,11.198,
32.064,3,-12.8256,
18.496,4,6.7048,
191.079,3,-38.2158,
10.368,2,3.6288,
7.152,3,2.3244,
179.7,6,88.053,
64.784,1,-12.9568,
30.18,3,13.8828,
51.648,12,18.7224,
11.232,3,3.9312,
71.088,2,-1.7772,
75.88,2,35.6636,
25.92,5,9.396,
419.68,5,-356.728,
11.688,3,-4.6752,
31.984,2,11.1944,
177.225,5,-120.513,
4.044,3,-2.8308,
7.408,2,1.2038,
14.94,3,7.0218,
1349.85,3,364.4595,
136.784,1,5.1294,
61.12,4,20.7808,
124.608,4,-23.364,
7.56,3,2.646,
360.38,2,93.6988,
11.16,2,2.79,
14.94,3,6.8724,
21.552,6,7.0044,
58.24,4,15.7248,
61.38,6,15.9588,
328.224,4,28.7196,
714.3,5,207.147,
105.52,4,48.5392,
179.94,6,75.5748,
26.85,3,5.1015,
323.37,3,129.348,
59.94,3,28.1718,
64.14,3,30.7872,
11.67,3,5.6016,
12.96,2,6.2208,
22.05,7,10.584,
99.9,5,46.953,
3023.928,9,226.7946,
26.96,2,3.7744,
477.6,3,161.19,
466.32,3,34.974,
82.64,2,0,
32.4,5,15.552,
4.784,1,1.5548,
4.73,1,2.3177,
9.648,6,3.4974,
177.48,3,19.9665,
695.7,2,-27.828,
122.352,3,13.7646,
692.94,3,173.235,
20.7,2,9.936,
1335.68,4,-217.048,
32.4,5,15.552,
23.616,8,7.9704,
1.344,4,-2.1504,
8.272,4,-13.6488,
12.544,7,-9.0944,
239.97,3,71.991,
14.62,2,6.8714,
53.984,14,17.5448,
389.97,3,132.5898,
902.712,3,33.8517,
14.62,2,6.8714,
208.16,1,56.2032,
16.74,3,8.0352,
47.04,3,18.3456,
30.84,4,13.878,
226.56,6,63.4368,
115.02,9,51.759,
68.04,7,19.7316,
1007.979,3,43.1991,
313.488,7,113.6394,
23.12,5,8.381,
92.94,3,41.823,
52.56,3,18.396,
185.88,6,83.646,
12.96,2,6.2208,
64.384,4,-160.96,
6.984,2,-4.5396,
11.264,8,3.9424,
15.552,3,5.6376,
379.372,2,-119.2312,
67.536,9,6.7536,
1.524,2,-2.667,
377.97,3,94.4925,
18.9,3,8.694,
33.568,2,11.7488,
7.04,4,2.0416,
8.73,3,4.1031,
29.29,1,9.6657,
8.64,3,2.5056,
599.165,5,35.245,
1293.488,7,80.843,
337.176,2,-118.0116,
39.936,4,-26.624,
18.464,2,2.308,
1115.17,7,334.551,
173.488,7,54.215,
46.35,5,21.7845,
91.475,1,-1.8295,
9.45,3,4.536,
208.56,6,52.14,
32.4,5,15.552,
319.41,5,7.098,
14.56,2,6.9888,
30,2,3.3,
48.48,4,16.362,
1.68,1,0.84,
111.96,2,54.8604,
40.74,3,0.4074,
239.666,2,14.098,
22.5,6,10.8,
219.84,4,107.7216,
266.352,3,-13.3176,
483.136,4,54.3528,
7.96,2,3.7412,
566.97,3,153.0819,
9.84,3,2.8536,
376.866,3,-213.5574,
76.864,2,26.9024,
6.848,2,2.14,
4.626,2,-3.855,
453.6,3,90.72,
17.12,2,8.0464,
45,3,4.95,
21.8,2,6.104,
5.16,2,1.3416,
38.88,6,18.6624,
45.056,8,15.2064,
29.718,6,-21.7932,
15.552,3,5.4432,
447.696,2,33.5772,
46.76,7,22.4448,
17.712,3,6.4206,
21.78,2,5.6628,
161.94,3,9.7164,
161.568,2,-8.0784,
95.968,4,26.3912,
10.368,2,3.6288,
6.9,1,0.552,
57.69,3,23.6529,
36.56,5,12.796,
186.144,6,60.4968,
353.568,2,-44.196,
0.836,1,-1.3376,
122.12,4,56.1752,
18.45,5,8.6715,
324.9,5,38.988,
146.73,3,68.9631,
3.96,2,1.4652,
835.17,7,16.7034,
93.68,4,25.2936,
21.93,3,10.3071,
862.344,7,97.0137,
19.98,1,9.3906,
25.83,7,12.1401,
38.24,4,-9.56,
440.91,9,123.4548,
8.712,2,-19.602,
4476.8,4,503.64,
104.85,1,50.328,
241.44,3,72.432,
422.058,3,-18.0882,
38.088,4,-27.9312,
254.352,6,-50.8704,
60.81,3,17.0268,
85.246,2,-6.089,
32.712,2,-26.1696,
14.7,5,6.615,
704.25,5,84.51,
14.9,5,1.043,
13.616,2,3.5742,
22.14,3,6.4206,
5.304,3,0.4641,
368.91,9,180.7659,
8.02,1,3.7694,
171.04,4,44.4704,
231.72,2,11.586,
17.9,5,8.95,
12.48,2,5.616,
20.97,3,9.0171,
139.96,4,9.7972,
37.74,3,12.8316,
135.95,1,39.4255,
37.464,7,12.1758,
539.658,3,-7.7094,
201.584,2,12.599,
359.976,3,35.9976,
7.752,3,2.8101,
33.568,2,11.7488,
121.96,2,20.7332,
8.74,2,2.2724,
61.96,2,27.882,
7.96,2,3.7412,
275.24,4,121.1056,
191.88,6,19.188,
35.97,3,9.7119,
1266.86,7,291.3778,
50.12,7,-0.6265,
14.2,2,6.532,
12.96,2,6.2208,
58.34,2,28.0032,
1499.95,5,449.985,
30.53,1,14.0438,
30.84,3,6.168,
75.06,9,33.777,
2.496,1,0.9048,
195.184,1,19.5184,
7.7,2,3.157,
528.43,5,0,
41.472,8,14.5152,
12.96,2,6.2208,
3.96,2,0.0792,
706.86,7,197.9208,
123.92,5,38.725,
25.4,5,8.636,
43.96,2,20.6612,
1279.165,5,225.735,
27.92,4,0.5584,
25.4,5,8.636,
177.48,3,19.9665,
71.976,3,8.997,
45.584,7,5.1282,
215.65,5,73.321,
60.288,8,-27.1296,
2.632,1,0.8225,
23.688,9,7.6986,
253.372,2,-14.4784,
287.968,4,-3.5996,
2799.96,5,944.9865,
48.94,1,24.47,
10.08,2,3.276,
59.994,1,-12.9987,
5.715,5,-4.7625,
9.42,5,-7.85,
12.96,2,6.2208,
45.98,2,12.8744,
863.64,9,107.955,
47.616,3,3.5712,
19.968,2,-13.312,
33.488,7,-1.2558,
8.736,4,-6.1152,
662.88,3,74.574,
107.984,1,9.4486,
19.296,3,6.03,
823.96,5,51.4975,
15.984,2,4.995,
12.96,2,6.2208,
408.006,2,72.5344,
165.28,4,14.8752,
16.768,2,1.4672,
338.04,3,-33.804,
154.24,4,17.352,
44.856,6,-35.8848,
341.991,3,-319.1916,
95.76,6,7.182,
380.864,8,38.0864,
11.632,2,1.0178,
11.21,1,3.363,
9.144,3,3.2004,
14.07,7,6.8943,
41.86,7,10.465,
8.544,2,2.8836,
579.136,4,21.7176,
419.944,7,52.493,
14.16,2,5.133,
29,2,7.25,
29.61,9,13.3245,
219.84,5,79.692,
36.4,5,17.108,
51.75,1,15.525,
110.376,3,12.4173,
151.62,7,50.0346,
30.8,4,10.164,
44.4,5,12.432,
230.28,3,23.028,
105.52,5,34.294,
37.224,3,3.7224,
20.016,3,6.255,
143.982,3,-28.7964,
494.376,4,-115.3544,
5.84,2,0.73,
9.552,3,-3.8208,
10.2,5,4.794,
22.32,3,5.58,
24.1,5,11.086,
75.98,2,18.2352,
6.46,2,3.1654,
60.12,9,28.8576,
77.88,2,3.894,
162.64,2,45.5392,
597,3,280.59,
55.48,1,26.6304,
21.93,3,10.0878,
242.94,3,4.8588,
7.64,1,3.7436,
51.84,8,25.4016,
265.17,1,47.7306,
12.42,3,4.4712,
428.4,3,89.964,
24.75,5,10.89,
87.71,7,41.2237,
69.52,2,17.38,
20.784,2,-4.6764,
12.816,3,4.1652,
45.96,2,13.788,
544.008,3,40.8006,
1.872,3,-1.4352,
854.352,3,10.6794,
593.568,2,0,
338.04,3,-33.804,
140.81,1,39.4268,
33.8,5,4.225,
15.576,3,3.3099,
55.992,1,3.4995,
11.264,8,1.2672,
284.08,10,24.857,
18.496,4,6.7048,
185.58,6,76.0878,
77.56,2,35.6776,
87.92,4,0.8792,
245.94,6,120.5106,
8.6,1,4.042,
504.9,5,126.225,
35.984,2,4.498,
389.97,3,132.5898,
89.95,5,43.176,
1.941,1,-1.294,
18.656,2,1.3992,
11.088,7,-8.1312,
66.688,1,4.168,
99.488,2,8.7052,
6.264,3,2.0358,
363.92,5,0,
419.9,5,197.353,
3.15,1,1.512,
6.3,2,3.024,
4.16,2,0.364,
11.648,2,3.3488,
109.95,1,36.2835,
965.85,5,135.219,
29.2,5,10.512,
32.4,5,15.552,
86.2,5,24.998,
37.68,2,10.5504,
51.84,8,24.8832,
27.42,3,9.3228,
5.4,3,2.592,
35.216,2,2.6412,
23.696,2,6.5164,
265.475,1,-111.4995,
11.416,4,-18.8364,
4.448,2,0.3336,
5.184,1,1.8144,
175.92,5,15.393,
4.752,4,-8.316,
13.344,2,1.0008,
115.136,8,11.5136,
253.764,2,31.0156,
73.2,5,21.228,
119.616,8,40.3704,
255.76,4,81.8432,
241.568,2,18.1176,
69.3,9,22.869,
1439.976,4,191.9968,
21.48,6,10.74,
243.88,5,27.4365,
15.712,4,5.6956,
7.89,1,0.3156,
65.5,5,32.095,
2430.08,8,388.8128,
10.44,1,4.8024,
20.936,1,7.0659,
37.17,9,11.151,
20.62,2,9.6914,
124.25,7,48.4575,
297.55,5,83.314,
403.56,4,96.8544,
95.2,5,27.608,
20.44,7,9.198,
109.92,2,53.8608,
18.9,3,8.694,
177.45,5,-78.078,
1369.764,6,-913.176,
9.48,3,0.711,
24.7,5,-9.88,
302.72,5,-378.4,
84.784,2,-16.9568,
2.214,3,-1.476,
704.76,5,26.4285,
27.396,3,-20.0904,
9.264,3,-13.896,
9.248,4,3.1212,
1036.624,2,51.8312,
715.64,2,178.91,
283.14,4,72.358,
635.96,4,165.3496,
118.99,1,33.3172,
272.94,3,30.0234,
863.128,7,-32.3673,
19.648,2,6.6312,
1039.728,2,90.9762,
45.96,2,13.788,
19.312,2,3.1382,
136.464,2,15.3522,
333.576,3,33.3576,
12.544,2,4.704,
81.54,3,38.3238,
167.28,12,23.4192,
35.06,2,10.518,
4.13,1,1.8998,
109.8,9,46.116,
9.82,2,4.8118,
3.98,5,-6.567,
302.384,2,30.2384,
20.952,3,7.0713,
11.784,3,3.9771,
197.05,7,59.115,
70.88,2,33.3136,
211.168,4,18.4772,
38.34,9,15.7194,
179.97,3,86.3856,
11.168,4,3.6296,
53.952,3,17.5344,
23.34,3,0.2334,
513.024,2,12.8256,
487.92,6,136.6176,
15.24,5,5.334,
10.56,2,4.752,
30.816,9,9.63,
44.784,2,4.4784,
569.536,4,64.0728,
4.338,3,-3.0366,
11.88,5,-7.92,
32.4,5,15.552,
41.86,7,19.2556,
77.56,2,35.6776,
6.48,1,3.1104,
1399.944,7,52.4979,
145.764,2,-8.098,
562.2925,7,-255.5875,
209.148,2,-66.2302,
1591.02,6,286.3836,
37.312,4,2.7984,
11.232,8,-8.2368,
10.272,3,3.21,
241.96,2,24.196,
8.52,3,4.1748,
